Title,Year,Rating,Poster
Past Lives,2023,7.8,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_SX300.jpg
Perfect Days,2023,7.9,https://m.media-amazon.com/images/M/MV5BNGVmODFkM2MtOTEzMy00MjFjLThjZmYtODMxZmI1MzcyNDkyXkEyXkFqcGc@._V1_SX300.jpg
When Harry Met Sally...,1989,7.7,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg
Eternal Sunshine of the Spotless Mind,2004,8.3,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg
The Iron Claw,2023,7.6,https://m.media-amazon.com/images/M/MV5BYjJjZDc5YTUtYTc4My00Yzc2LTkwMGUtOTg3ODIwYzJkYTJiXkEyXkFqcGc@._V1_SX300.jpg
Conclave,2024,7.4,https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_SX300.jpg
Tampopo,1985,7.9,https://m.media-amazon.com/images/M/MV5BNDBiM2U5ODItZGExOS00OWYwLTliNGEtODhlMjg1NzY3MmM5XkEyXkFqcGc@._V1_SX300.jpg
The Outrun,2024,6.9,https://m.media-amazon.com/images/M/MV5BM2Q0YTliNDMtYjRiNC00ZWE2LTg5ZjktNGZhNWRiYTk2ZTFlXkEyXkFqcGc@._V1_SX300.jpg
Dìdi,2024,7.3,https://m.media-amazon.com/images/M/MV5BZTJjOGIyNmUtYTdkZS00ZTU4LTlkNmEtNDc0YmIwMmQwYjRjXkEyXkFqcGc@._V1_SX300.jpg
KPop Demon Hunters,2025,7.5,https://m.media-amazon.com/images/M/MV5BNTBiYWJlMjQtOTIyMy00NTY4LWFhOWItOWZhNzc3NGMyMjc2XkEyXkFqcGc@._V1_SX300.jpg
The Crimson Rivers,2000,6.9,https://m.media-amazon.com/images/M/MV5BOGNlZmM2MWEtMmQ4ZS00NThiLTlmMGItNTMyMWRlZWI3ZmEwXkEyXkFqcGc@._V1_SX300.jpg
Forrest Gump,1994,8.8,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_SX300.jpg
